# frame, mcg, now4, now3, now2, sw34, sw23, f4_value, rg2_value, cage_big, cage_small, cage_ratio, surface_carbon_2, surface_carbon_3, n_core_2, n_core_3, surface_carbon_4, n_core_4
0.000000000000000000e+00 2.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.000000000000000000e+00 0.000000000000000000e+00 3.000000000000000000e+00 8.513346199231669464e-02 2.455964088439941406e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000000e+00 2.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 5.000000000000000000e+00 0.000000000000000000e+00 4.000000000000000000e+00 1.700000000000000000e+01 4.000000000000000000e+00 1.300000000000000000e+01 1.010587711426192969e-01 3.484500408172607422e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000000e+00 5.000000000000000000e+00 3.000000000000000000e+00 0.000000000000000000e+00 5.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 6.000000000000000000e+00 1.000000000000000000e+00 7.000000000000000000e+00 2.300000000000000000e+01 6.000000000000000000e+00 1.600000000000000000e+01 8.809043539114820576e-02 2.989749670028686523e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 5.000000000000000000e+00 5.000000000000000000e+00 1.000000000000000000e+00 6.000000000000000000e+00 0.000000000000000000e+00
3.000000000000000000e+00 1.400000000000000000e+01 1.000000000000000000e+01 2.500000000000000000e+01 6.100000000000000000e+01 1.500000000000000000e+01 3.600000000000000000e+01 7.688974016192715033e-02 4.444222927093505859e+00 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 3.000000000000000000e+00 7.000000000000000000e+00 1.100000000000000000e+01 7.000000000000000000e+00 1.200000000000000000e+01 2.000000000000000000e+00
4.000000000000000000e+00 1.800000000000000000e+01 1.000000000000000000e+01 3.900000000000000000e+01 8.700000000000000000e+01 2.900000000000000000e+01 4.800000000000000000e+01 8.627031110427860194e-02 4.484376907348632812e+00 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 5.000000000000000000e+00 1.200000000000000000e+01 1.300000000000000000e+01 6.000000000000000000e+00 1.400000000000000000e+01 4.000000000000000000e+00
5.000000000000000000e+00 2.000000000000000000e+01 2.000000000000000000e+01 4.500000000000000000e+01 1.010000000000000000e+02 2.500000000000000000e+01 5.600000000000000000e+01 9.210718119330121856e-02 3.645986318588256836e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 7.000000000000000000e+00 1.300000000000000000e+01 1.300000000000000000e+01 7.000000000000000000e+00 1.600000000000000000e+01 4.000000000000000000e+00
6.000000000000000000e+00 2.100000000000000000e+01 1.600000000000000000e+01 5.300000000000000000e+01 1.010000000000000000e+02 3.700000000000000000e+01 4.800000000000000000e+01 8.374843011149031569e-02 4.691024780273437500e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.000000000000000000e+00 8.000000000000000000e+00 1.500000000000000000e+01 1.300000000000000000e+01 1.500000000000000000e+01 6.000000000000000000e+00
7.000000000000000000e+00 1.200000000000000000e+01 6.000000000000000000e+00 2.300000000000000000e+01 5.700000000000000000e+01 1.700000000000000000e+01 3.400000000000000000e+01 9.052031592386497461e-02 3.576327800750732422e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.000000000000000000e+00 8.000000000000000000e+00 9.000000000000000000e+00 4.000000000000000000e+00 1.100000000000000000e+01 1.000000000000000000e+00
8.000000000000000000e+00 2.700000000000000000e+01 2.600000000000000000e+01 7.600000000000000000e+01 1.450000000000000000e+02 5.000000000000000000e+01 6.900000000000000000e+01 8.541187747843494160e-02 5.101509571075439453e+00 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 7.000000000000000000e+00 1.700000000000000000e+01 2.000000000000000000e+01 1.000000000000000000e+01 2.100000000000000000e+01 6.000000000000000000e+00
9.000000000000000000e+00 2.600000000000000000e+01 2.600000000000000000e+01 7.200000000000000000e+01 1.330000000000000000e+02 4.600000000000000000e+01 6.100000000000000000e+01 7.957159221905281410e-02 4.635775566101074219e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.000000000000000000e+00 1.000000000000000000e+01 2.100000000000000000e+01 1.600000000000000000e+01 1.700000000000000000e+01 9.000000000000000000e+00
