# frame, mcg, now4, now3, now2, sw34, sw23, f4_value, rg2_value, cage_big, cage_small, cage_ratio, surface_carbon_2, surface_carbon_3, n_core_2, n_core_3, surface_carbon_4, n_core_4
0.000000000000000000e+00 2.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.000000000000000000e+00 0.000000000000000000e+00 3.000000000000000000e+00 9.284881071755775317e-02 1.718396097421646118e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000000e+00 2.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 4.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000000e+00 1.100000000000000000e+01 2.000000000000000000e+00 9.000000000000000000e+00 6.889437450641631988e-02 1.324142515659332275e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.000000000000000000e+00 3.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 4.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 3.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.000000000000000000e+00 0.000000000000000000e+00 8.000000000000000000e+00 8.466887095967480514e-02 7.123271375894546509e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000000e+00 3.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 3.000000000000000000e+00 0.000000000000000000e+00
3.000000000000000000e+00 6.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+01 2.500000000000000000e+01 9.000000000000000000e+00 1.500000000000000000e+01 9.164048285990389342e-02 3.223229944705963135e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000000e+00 4.000000000000000000e+00 4.000000000000000000e+00 2.000000000000000000e+00 6.000000000000000000e+00 0.000000000000000000e+00
4.000000000000000000e+00 8.000000000000000000e+00 5.000000000000000000e+00 1.400000000000000000e+01 3.600000000000000000e+01 9.000000000000000000e+00 2.200000000000000000e+01 7.840007608919613569e-02 3.182041943073272705e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000000e+00 5.000000000000000000e+00 6.000000000000000000e+00 3.000000000000000000e+00 7.000000000000000000e+00 1.000000000000000000e+00
5.000000000000000000e+00 1.300000000000000000e+01 1.000000000000000000e+01 2.700000000000000000e+01 6.500000000000000000e+01 1.700000000000000000e+01 3.800000000000000000e+01 9.001750073341661940e-02 5.002958774566650391e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.000000000000000000e+00 1.000000000000000000e+01 5.000000000000000000e+00 3.000000000000000000e+00 1.100000000000000000e+01 2.000000000000000000e+00
6.000000000000000000e+00 4.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.200000000000000000e+01 0.000000000000000000e+00 1.200000000000000000e+01 1.004599309928856238e-01 5.935148000717163086e-01 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000000e+00 4.000000000000000000e+00 2.000000000000000000e+00 0.000000000000000000e+00 4.000000000000000000e+00 0.000000000000000000e+00
7.000000000000000000e+00 1.300000000000000000e+01 1.200000000000000000e+01 2.600000000000000000e+01 6.000000000000000000e+01 1.400000000000000000e+01 3.400000000000000000e+01 8.426828813532256934e-02 5.517963767051696777e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000000e+00 6.000000000000000000e+00 1.100000000000000000e+01 7.000000000000000000e+00 9.000000000000000000e+00 4.000000000000000000e+00
8.000000000000000000e+00 1.500000000000000000e+01 1.100000000000000000e+01 3.300000000000000000e+01 6.500000000000000000e+01 2.200000000000000000e+01 3.200000000000000000e+01 7.822966949798777769e-02 6.315004229545593262e-01 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 2.000000000000000000e+00 6.000000000000000000e+00 1.300000000000000000e+01 9.000000000000000000e+00 1.100000000000000000e+01 4.000000000000000000e+00
9.000000000000000000e+00 1.100000000000000000e+01 1.200000000000000000e+01 2.500000000000000000e+01 5.100000000000000000e+01 1.300000000000000000e+01 2.600000000000000000e+01 1.038545522140509325e-01 3.278358578681945801e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.000000000000000000e+00 9.000000000000000000e+00 6.000000000000000000e+00 2.000000000000000000e+00 1.000000000000000000e+01 1.000000000000000000e+00
1.000000000000000000e+01 1.300000000000000000e+01 1.400000000000000000e+01 2.700000000000000000e+01 6.000000000000000000e+01 1.300000000000000000e+01 3.300000000000000000e+01 9.970634783939515133e-02 4.197830259799957275e-01 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 8.000000000000000000e+00 1.000000000000000000e+01 5.000000000000000000e+00 3.000000000000000000e+00 1.100000000000000000e+01 2.000000000000000000e+00
